Designator,Mid X,Mid Y,Rotation,Layer
D1,140.49375,-102.39375,90.0,bottom
D10,133.35,-89.916,0.0,bottom
D11,152.4,-89.916,0.0,bottom
D12,171.45,-89.916,0.0,bottom
D2,145.25625,-102.39375,90.0,bottom
D3,150.01875,-102.39375,90.0,bottom
D4,154.78125,-102.39375,90.0,bottom
D5,159.54375,-102.39375,90.0,bottom
D6,164.30625,-102.39375,90.0,bottom
D7,133.35,-70.854,0.0,bottom
D8,152.4,-70.866,0.0,bottom
D9,171.45,-70.866,0.0,bottom
J1,144.5,-47.77,0.0,top
S1,133.35,-64.585,0.0,top
S2,152.4,-64.585,0.0,top
S3,171.45,-64.585,0.0,top
S4,133.35,-83.635,0.0,top
S5,152.4,-83.635,0.0,top
S6,171.45,-83.635,0.0,top
SW1,133.35,-47.625,0.0,top
U1,196.0,-76.2,270.0,top
